판매일,상품,단가,수량
2026-06-01,초코우유,900,12
2026-06-01,딸기우유,900,7
2026-06-01,크림빵,1200,9
2026-06-01,삼각김밥,1100,15
2026-06-01,컵라면,1500,6
2026-06-02,초코우유,900,10
2026-06-02,소시지빵,1300,8
2026-06-02,삼각김밥,1100,13
2026-06-02,컵라면,1500,9
2026-06-02,크림빵,1200,5
2026-06-03,초코우유,900,14
2026-06-03,딸기우유,900,6
2026-06-03,크림빵,1200,11
2026-06-03,삼각김밥,1100,17
2026-06-03,소시지빵,1300,4
2026-06-04,초코우유,900,8
2026-06-04,딸기우유,900,9
2026-06-04,컵라면,1500,12
2026-06-04,삼각김밥,1100,10
2026-06-04,크림빵,1200,7
2026-06-05,초코우유,900,16
2026-06-05,소시지빵,1300,6
2026-06-05,컵라면,1500,11
2026-06-05,삼각김밥,1100,18
2026-06-05,딸기우유,900,5
