학번,종목,기록_초
250103,100m 달리기,14.2
250215,100m 달리기,13.8
250311,100m 달리기,15.1
250422,100m 달리기,16.4
260107,100m 달리기,13.5
260412,100m 달리기,14.9
260520,100m 달리기,15.7
270101,100m 달리기,13.1
270218,100m 달리기,14.6
270321,100m 달리기,15.3
270508,100m 달리기,16.8
250103,800m 오래달리기,175.4
250215,800m 오래달리기,168.2
250311,800m 오래달리기,190.5
260107,800m 오래달리기,162.8
260412,800m 오래달리기,171.3
260625,800m 오래달리기,185.9
270101,800m 오래달리기,158.6
270218,800m 오래달리기,177.1
270508,800m 오래달리기,201.4
250422,800m 오래달리기,183.7
260520,800m 오래달리기,169.5
